RM,LSTAT,PTRATIO
6.525,18.13,20.2
8.259,3.54,19.1
5.731,13.61,17.8
7.087999999999999,7.85,15.3
6.495,8.67,16.1
5.7620000000000005,10.42,20.2
6.395,13.27,20.2
5.349,19.77,20.2
7.686,3.92,17.4
7.52,7.26,13.0
7.358,4.73,17.4
4.652,28.28,20.2
6.484,18.68,20.2
5.841,11.41,19.2
7.287000000000001,4.08,12.6
6.151,18.46,21.2
4.97,3.26,20.2
6.226,10.15,19.1
6.209,7.14,16.6
6.38,23.69,20.2
5.9270000000000005,9.22,19.7
6.715,10.16,17.8
7.079,5.7,17.8
7.013999999999999,14.79,13.0
6.0120000000000005,12.43,15.2
8.78,5.29,20.2
6.976,5.64,21.0
7.2410000000000005,5.49,15.5
6.066,6.43,14.7
6.122000000000001,14.1,14.7
6.315,6.29,16.6
5.747000000000001,19.92,20.2
5.604,13.98,17.8
6.382000000000001,10.36,18.4
6.377000000000001,20.45,15.2
4.368,30.63,20.2
6.1370000000000005,13.44,20.9
6.619,7.22,19.0
5.966,10.13,19.2
5.782,15.94,18.4
5.877000000000001,12.14,14.7
6.162000000000001,24.1,20.2
7.041,4.74,14.8
6.5489999999999995,7.39,16.0
7.274,6.62,12.6
6.794,21.24,20.2
5.627999999999999,16.65,14.7
6.405,19.37,20.2
4.926,29.53,14.7
6.193,21.52,20.2
6.565,9.51,16.6
5.856,25.41,19.1
5.093,29.68,20.1
6.162999999999999,11.34,18.0
5.468,26.42,14.7
6.606,7.37,16.6
6.854,2.98,17.6
8.068999999999999,4.21,18.0
6.728,4.5,17.0
5.961,17.93,19.1
6.563,5.68,17.8
7.61,3.11,14.7
6.108,9.16,19.1
5.871,13.34,20.2
6.59,9.5,16.1
5.662999999999999,8.05,22.0
5.757000000000001,10.11,20.2
5.852,29.97,20.2
6.23,12.93,18.2
5.986000000000001,14.81,19.1
6.6160000000000005,8.93,18.4
6.617999999999999,7.6,17.4
5.648,14.1,20.2
6.372999999999999,10.5,16.4
5.6370000000000005,18.34,21.2
5.565,17.16,20.2
7.148,3.56,19.2
5.706,12.43,16.9
6.968,17.21,20.2
6.242000000000001,10.74,20.2
6.127000000000001,11.48,20.2
5.79,15.84,16.0
6.0089999999999995,10.4,16.0
7.016,2.96,20.2
5.935,34.02,20.2
5.912999999999999,16.21,17.8
6.98,5.04,17.8
4.973,12.64,18.4
6.54,8.65,15.9
6.316,5.68,20.2
5.905,11.45,20.2
5.936,16.94,20.2
8.247,3.95,17.4
6.567,9.28,18.4
5.854,11.64,14.7
5.942,16.9,21.2
7.107,8.61,12.6
7.332999999999999,7.79,13.0
8.337,2.47,17.4
5.928,15.76,17.8
5.87,14.37,19.1
5.8839999999999995,7.79,18.3
8.266,4.14,17.4
4.138,23.34,20.2
5.968,9.29,20.2
5.693,17.19,21.2
6.452999999999999,8.23,15.3
6.434,29.05,20.2
6.127000000000001,14.09,20.9
4.138,37.97,20.2
6.417000000000001,19.31,20.2
5.822,15.03,21.2
3.863,13.33,20.2
6.069,9.55,17.9
5.67,17.6,19.2
6.29,4.67,16.1
7.922999999999999,3.16,13.6
6.63,6.53,18.5
6.358,11.22,16.6
7.831,4.45,17.8
5.896,24.39,20.2
6.51,7.39,14.7
5.888999999999999,15.71,15.2
5.933,9.68,19.2
6.495,12.8,21.0
5.875,14.43,14.7
5.403,26.82,14.7
6.404,20.31,20.2
6.939,5.89,19.7
6.164,21.46,17.4
6.625,6.65,18.0
6.115,9.43,16.8
6.897,11.38,16.6
6.649,23.24,20.2
5.5360000000000005,23.6,20.2
6.86,6.92,16.6
6.77,4.84,17.9
5.818,22.11,20.2
6.051,18.76,20.2
6.3260000000000005,10.97,18.6
7.645,3.01,14.9
6.108,6.57,16.4
6.782,25.79,20.2
7.147,5.33,18.7
7.454,3.11,15.9
7.393,16.74,20.2
6.727,9.42,20.9
8.04,3.13,17.4
6.832999999999999,19.69,20.2
6.375,9.38,18.6
5.837000000000001,15.69,20.2
5.88,12.03,14.7
7.82,3.57,18.0
6.63,4.7,19.2
6.182,9.47,18.6
5.966,14.44,19.7
6.03,18.8,17.9
5.95,27.71,21.0
8.297,7.44,13.0
6.082999999999999,12.79,19.6
7.135,4.45,17.0
6.655,17.73,20.2
6.047000000000001,17.28,21.0
6.193,15.17,20.2
5.981,11.65,17.4
7.202999999999999,9.59,13.0
6.315,7.6,16.6
7.8020000000000005,1.92,14.7
6.38,24.08,20.2
5.857,21.32,21.2
6.456,6.73,19.7
6.335,16.96,21.2
6.431,15.39,21.2
7.061,7.01,20.2
5.631,29.93,15.2
6.312,6.15,19.6
5.712999999999999,14.76,20.2
7.104,8.05,18.6
6.871,6.07,14.8
6.096,10.26,21.0
5.272,16.14,14.7
7.024,1.98,18.3
6.223,21.78,20.2
5.7589999999999995,14.13,20.2
5.608,12.13,20.2
5.888,13.51,16.4
6.812,4.85,14.9
5.627000000000001,22.88,20.2
6.794,6.48,21.0
5.895,10.56,20.2
6.631,9.54,17.4
5.7829999999999995,18.06,18.6
5.807,16.03,18.6
6.678,6.27,16.0
6.317,13.99,20.2
6.438,3.59,19.1
5.926,13.59,19.2
6.209,13.22,20.2
6.982,4.86,16.1
6.49,5.98,19.7
5.92,13.65,18.6
6.162000000000001,7.43,14.7
7.489,1.73,14.7
6.211,7.44,17.9
6.642,9.69,16.4
6.343,20.32,20.2
6.9510000000000005,5.1,15.2
5.972,9.97,18.4
6.8420000000000005,6.9,13.0
5.851,16.47,20.9
5.997999999999999,8.43,16.8
5.39,20.85,20.2
6.421,9.14,17.8
6.341,17.79,20.2
5.454,18.06,20.1
5.602,16.2,17.9
6.824,22.74,20.2
6.727,5.29,19.0
5.891,10.87,18.6
6.096,20.34,21.0
6.348,17.64,20.2
7.327000000000001,11.25,13.0
6.202000000000001,14.52,20.2
4.963,14.0,20.2
6.405,8.2,17.8
5.985,9.74,20.2
6.229,13.11,20.2
6.511,5.28,16.8
6.013999999999999,10.53,18.8
7.206,8.1,13.0
6.095,12.4,16.6
5.949,8.26,21.0
5.705,11.5,18.4
7.007000000000001,5.5,17.8
5.0,31.99,20.2
7.691,6.58,18.6
7.928999999999999,3.7,14.7
5.867999999999999,9.97,16.9
6.019,12.92,19.2
5.757000000000001,17.31,21.2
7.42,6.47,18.4
6.114,14.98,20.2
6.1129999999999995,12.73,18.4
6.393,5.19,16.6
5.888,14.8,21.1
5.803,14.64,20.2
5.962999999999999,13.45,16.8
6.376,14.65,20.2
5.859,9.64,16.6
6.459,23.98,20.2
7.185,5.39,15.2
6.12,9.08,21.0
6.513,10.29,20.2
6.782,6.68,15.2
6.402,11.32,14.7
6.145,6.86,19.7
5.399,30.81,17.9
6.874,4.61,17.6
6.086,10.88,17.4
6.957000000000001,3.53,19.1
5.965,13.83,21.0
6.266,7.9,18.4
6.081,14.7,20.2
6.25,5.5,14.7
7.267,6.05,17.6
6.485,18.85,20.2
6.739,4.69,15.2
5.277,30.81,20.2
6.127000000000001,8.58,16.0
5.155,20.08,20.2
6.696000000000001,7.18,17.6
8.704,5.12,13.0
6.635,4.54,18.4
5.597,21.45,14.7
6.457999999999999,12.6,21.2
5.404,13.28,14.7
6.112,12.67,20.2
7.416,6.19,18.0
5.875,8.88,20.2
6.121,8.44,18.5
6.301,16.23,20.2
6.144,9.09,16.9
5.412000000000001,29.55,18.6
5.952000000000001,17.15,20.2
6.004,14.27,19.1
6.03,7.88,21.0
5.57,21.02,21.0
6.556,4.56,15.2
5.961,9.88,19.2
5.836,18.66,20.9
5.856,13.0,18.6
6.635,5.99,17.0
6.629,23.27,20.2
6.405,10.63,20.9
